"Names","Clubs","GP","GS","MP","TT","P","INT","BLK","GMB","TKL","OFF","C","CK"
" Illarramendi Asier A.","RSO",36,35,3163,7574,2218,44,75,0,64,0,81,5
" Messi Lionel L.","BAR",36,32,2996,7222,1534,8,10,0,10,13,98,44
" Banega Ever E.","SEV",31,25,2397,6531,1880,26,17,0,51,2,182,105
" Rodri","VIL",37,36,3228,6355,2164,58,45,0,60,2,8,0
" Rakitic Ivan I.","BAR",35,31,2838,6151,2241,39,48,0,26,3,72,48
" Parejo Dani D.","VAL",34,34,3005,5950,2097,29,52,0,71,2,193,173
" Ruiz Fabian F.","BET",34,30,2662,5802,1769,37,65,0,35,2,23,1
" Alba Jordi J.","BAR",33,30,2744,5339,2067,45,64,0,28,16,98,1
" Kroos Toni T.","RMD",27,26,2267,5321,1963,16,19,0,34,2,161,133
" Isco","RMD",30,21,1778,5280,1354,9,10,0,11,6,112,49
" Lobotka Stanislav S.","CEL",38,34,3061,5226,1818,41,39,0,36,0,14,0
" Mandi Aissa A.","BET",34,34,3025,5110,1957,57,71,0,51,1,5,0
" Jonny","CEL",36,36,3203,5100,1737,67,92,0,59,1,60,0
" Koke","ATL",35,33,2762,4964,1698,27,52,0,51,1,167,99
" Marcelo","RMD",28,26,2262,4939,1549,29,43,0,24,3,162,12
" Busquets Sergio S.","BAR",31,30,2600,4874,1952,27,63,0,57,0,4,0
" Sisto Pione P.","CEL",34,31,2534,4867,854,16,22,0,4,10,92,26
" Odriozola Alvaro A.","RSO",35,32,2917,4824,1451,22,54,0,23,9,177,2
" Pique Gerard G.","BAR",30,29,2633,4775,1569,44,48,0,24,3,3,0
" Trigueros Manuel M.","VIL",34,32,2709,4760,1608,38,36,0,44,1,103,51
" Mallo Hugo H.","CEL",34,34,3004,4756,1630,46,63,0,46,5,132,0
" Juanfran","DEP",35,34,3058,4664,1312,41,91,0,28,1,174,2
" Viera Jonathan J.",NA,23,23,1994,4636,1240,6,19,0,22,3,101,44
" Roberto Sergi S.","BAR",30,24,2224,4586,1620,45,40,0,22,1,63,0
" Saul","ATL",36,35,3157,4541,1417,54,78,0,70,6,25,1
" Iniesta Andres A.","BAR",30,25,1842,4518,1342,17,21,0,12,0,34,1
" Kondogbia Geoffrey G.","VAL",31,30,2617,4512,1379,58,55,0,78,1,8,0
" Lopez David D.","ESP",37,37,3330,4368,1518,70,55,0,50,2,9,0
" Campana Jose J.","LEV",35,33,2742,4299,1289,58,49,0,30,1,128,77
" Modric Luka L.","RMD",26,23,1976,4285,1384,20,19,0,17,0,32,6
" Gaya","VAL",34,33,2917,4285,1311,47,78,0,43,5,123,2
" Garcia Borja B.","GIR",37,34,2812,4257,1131,25,45,0,18,0,118,46
" Guardado Andres A.","BET",29,25,2266,4197,1275,25,32,0,31,2,89,42
" Amat Jordi J.","BET",25,24,2051,4186,1384,36,40,0,17,0,0,0
" Carvajal Dani D.","RMD",25,25,2223,4168,1583,44,52,0,27,3,120,0
" Granell Alex A.","GIR",34,33,2853,4130,1401,39,60,0,48,0,208,87
" Darder Sergi S.","ESP",35,32,2788,4127,1192,40,44,0,47,0,69,22
" Rosales Roberto R.","MAG",35,35,3125,4115,1362,51,75,0,62,3,184,42
" Joaquin","BET",35,29,2487,4092,1074,25,24,0,13,5,106,60
" Ramos Sergio S.","RMD",26,26,2290,4083,1658,60,42,0,31,5,14,0
" Gabi","ATL",34,25,2346,4068,1447,55,30,0,53,1,67,24
" Umtiti Samuel S.","BAR",25,24,2189,4054,1425,37,29,0,27,4,2,1
" Mario","VIL",32,31,2805,4018,1422,56,98,0,56,3,78,0
" Aspas Iago I.","CEL",34,33,2937,4013,976,18,27,0,15,11,80,31
" Luisinho","DEP",30,29,2622,3991,1228,30,77,0,72,2,95,0
" Canales Sergio S.","RSO",36,20,1921,3987,1046,10,26,0,21,0,170,98
" N'Zonzi Steven S.","SEV",27,26,2215,3987,1559,26,37,0,17,2,11,0
" Lenglet Clement C.","SEV",35,33,3002,3884,1396,54,58,0,46,1,4,0
" Partey Thomas T.","ATL",33,28,2379,3865,1181,46,38,0,47,0,22,5
" Guedes Goncalo G.","VAL",33,27,2441,3863,733,12,24,0,29,10,81,5
"Morales Jose Luis  J.","LEV",35,35,3065,3840,627,28,43,0,17,9,173,20
"Garcia Javi  J.","BET",32,27,2410,3836,1504,40,34,0,19,1,0,0
"Casemiro ","RMD",30,30,2601,3823,1513,55,63,0,78,2,15,0
"Asensio Marco  M.","RMD",32,19,1839,3808,1051,16,17,0,13,3,123,49
"Costa Jaume  J.","VIL",30,29,2541,3796,1288,45,68,0,48,0,91,1
"Nunez Unai  U.","ATH",33,33,2942,3788,1188,66,66,0,62,0,5,0
"Llorente Diego  D.","RSO",27,26,2328,3784,1298,52,52,1,26,0,5,0
"Fornals Pablo  P.","VIL",35,30,2623,3760,1025,19,28,0,26,2,62,11
"Arbilla Anaitz  A.","EIB",29,26,2411,3750,1198,74,42,0,20,0,14,2
"Castillejo Samu  S.","VIL",30,25,2083,3749,770,27,51,0,15,7,120,75
"Wass Daniel  D.","CEL",35,34,2938,3702,1230,27,42,0,19,11,174,73
"Gomez Sergi  S.","CEL",33,31,2682,3690,1405,44,42,0,35,2,4,0
"Escudero Sergio  S.","SEV",27,26,2332,3689,1301,32,62,0,53,1,59,1
"Perez Ruben  R.","LGN",31,29,2520,3687,1132,57,71,0,55,0,16,2
"Martinez Inigo  I.","ATH",28,28,2496,3681,1190,55,31,2,44,3,34,0
"Mojica Johan  J.","GIR",30,22,2131,3616,848,38,45,0,27,6,140,1
"Moreno Gerard  G.","ESP",38,38,3413,3562,791,32,32,0,21,35,67,1
"Sarabia Pablo  P.","SEV",34,27,2398,3508,843,26,52,0,19,21,133,44
"Maffeo Pablo  P.","GIR",33,32,2650,3405,883,41,68,0,38,1,130,2
"Cote Jose Angel  J.","EIB",30,28,2430,3396,1004,52,53,1,26,1,210,40
"Capa ","EIB",33,25,2247,3388,1040,54,36,0,25,6,90,0
"Guilherme ","DEP",31,31,2643,3370,1180,33,52,0,38,0,33,20
"Oyarzabal Mikel  M.","RSO",35,31,2779,3362,724,6,55,0,20,17,120,62
"Paulinho ","BAR",34,21,1939,3342,1050,13,30,0,24,4,7,0
"Martin Aaron  A.","ESP",32,31,2815,3321,1079,50,62,0,31,0,156,16
"Barragan Antonio  A.","BET",29,28,2377,3299,1270,31,47,0,40,4,103,1
"Suarez Damian  D.","GET",33,33,2878,3298,1184,77,54,0,45,1,132,45
"Lekue Inigo  I.","ATH",32,22,2104,3291,907,23,47,0,21,1,78,0
"Alvaro ","VIL",33,32,2899,3287,1211,74,44,0,30,3,9,0
"Navarro Ximo  X.","LP",31,29,2606,3283,1086,45,53,0,39,0,11,0
"Pires Gabriel  G.","LGN",29,28,2383,3265,794,26,54,0,61,2,31,0
"Semedo Nelson  N.","BAR",24,17,1495,3236,988,20,21,0,25,3,26,0
"Garcia Dani  D.","EIB",32,32,2781,3230,1288,57,45,0,48,0,13,1
"Inui Takashi  T.","EIB",34,31,2640,3216,710,25,35,0,16,5,72,12
"Filipe Luis ","ATL",20,19,1660,3167,978,37,45,0,58,1,50,1
"Hernandez Pablo  P.","CEL",30,18,1812,3162,992,24,33,0,17,8,11,0
"Portillo ","GET",33,28,2465,3161,736,25,43,0,16,2,47,9
"Ruiz Victor  V.","VIL",27,27,2417,3155,1134,65,40,0,32,0,1,0
"Soler Carlos  C.","VAL",33,27,2374,3146,793,15,31,0,31,1,70,3
"Correa Angel  A.","ATL",37,27,2262,3135,647,29,36,0,24,6,57,3
"Paulista Gabriel  G.","VAL",30,29,2584,3114,1158,69,54,0,34,0,2,0
"Susaeta ","ATH",34,26,2268,3109,746,22,27,0,17,9,189,87
"Zurutuza ","RSO",31,26,2248,3074,983,16,52,0,29,1,18,1
"Coutinho Philippe  P.","BAR",18,16,1303,3066,718,6,11,0,17,8,61,51
"Varane Raphael  R.","RMD",27,27,2323,3063,1163,60,31,0,12,0,3,0
"Aday ","GIR",31,20,1833,3053,732,27,27,0,9,6,133,2
"Antunes ","GET",34,31,2797,3053,866,52,65,0,31,1,173,51
"Sanchez Victor  V.","ESP",30,29,2463,3025,997,64,51,0,67,0,84,9
"Hernandez Luis  L.","MAG",36,36,3240,3009,1106,97,49,0,33,3,20,0
"Pizarro Guido  G.","SEV",24,19,1754,3003,1059,33,34,0,54,0,5,0
"Navas Jesus  J.","SEV",26,20,1762,2992,694,14,27,0,18,8,109,3
"Rodrigo ","VAL",37,31,2695,2983,672,12,14,0,11,20,44,2
"Jordan Joan  J.","EIB",35,25,2422,2983,969,38,26,0,19,5,118,64
"Vazquez Franco  F.","SEV",30,22,1845,2959,674,20,13,0,30,9,46,2
"Williams Inaki  I.","ATH",38,31,2851,2953,529,8,34,0,11,27,86,0
"Adrian ","DEP",30,26,2346,2932,597,11,27,0,9,12,53,2
"Vazquez Lucas  L.","RMD",33,16,1668,2888,800,7,27,0,28,12,116,21
"Zaldua Joseba  J.","LGN",30,29,2561,2879,935,26,76,0,32,2,95,0
"Ronaldo Cristiano  C.","RMD",27,27,2292,2869,606,6,13,0,4,41,42,4
"Juanpe ","GIR",35,34,3064,2866,975,72,47,0,42,1,7,0
"Cabral Gustavo  G.","CEL",26,20,1890,2843,1098,29,32,0,32,1,0,0
"Godin Diego  D.","ATL",30,28,2554,2833,1015,52,42,0,46,5,0,0
"Rico Diego  D.","LGN",26,26,2229,2829,924,49,87,0,41,4,151,27
"Castellano Dani  D.","LP",24,23,2027,2823,837,24,65,0,36,4,43,0
"Navas Raul  R.","RSO",20,20,1792,2817,1021,29,32,0,14,0,4,0
"Griezmann Antoine  A.","ATL",32,30,2529,2812,791,19,16,0,23,25,60,18
"Macedo Michel  M.","LP",28,26,2136,2799,966,22,36,0,25,6,65,0
"Suarez Luis  L.","BAR",33,32,2899,2788,802,11,8,0,11,56,50,1
"Montoya Martin  M.","VAL",25,24,2152,2779,1017,35,62,0,55,1,69,0
"Portu ","GIR",37,35,3010,2777,465,12,23,0,14,24,86,0
"Roncaglia Facundo  F.","CEL",21,17,1492,2764,909,19,26,0,12,1,7,0
"Iturraspe Ander  A.","ATH",30,20,1903,2750,928,38,40,0,18,0,85,38
"Durmisi Riza  R.","BET",24,23,2080,2743,865,26,50,0,21,2,83,4
"Castro Chory  C.","MAG",26,26,2075,2742,659,14,34,0,20,3,155,35
"Prieto Xabi  X.","RSO",26,24,1940,2739,816,11,12,0,9,4,75,15
"Borges Celso  C.","DEP",32,26,2306,2736,887,18,57,0,27,3,21,1
"Recio ","MAG",22,21,1841,2722,808,29,23,0,39,1,90,42
"Galvez Alejandro  A.","LP",22,22,1979,2721,882,45,38,0,47,5,4,0
"Bartra Marc  M.","BET",16,16,1421,2671,904,24,37,0,19,0,4,0
"Lerma Jefferson  J.","LEV",26,25,2137,2654,877,48,48,0,34,0,5,0
"Januzaj Adnan  A.","RSO",28,18,1579,2649,423,7,16,0,11,6,77,32
"Ibai ","ALA",34,26,2324,2635,618,21,27,0,9,8,189,81
"El Haddadi Munir  M.","ALA",33,28,2456,2611,461,7,20,0,11,44,93,33
"Rolan Diego  D.","MAG",26,21,1944,2589,467,10,29,0,15,17,35,1
"Nacho ","RMD",27,22,2073,2566,1036,32,33,0,33,0,26,0
"Ter Stegen Marc-Andre  M.","BAR",37,37,3330,2560,926,5,2,0,0,0,0,0
"Elustondo Aritz  A.","RSO",19,18,1598,2555,849,21,25,0,20,3,11,0
"Hernandez Lucas  L.","ATL",27,24,2116,2546,878,40,52,0,58,4,22,0
"Pons Pere  P.","GIR",31,30,2564,2526,796,57,27,0,32,0,9,5
"Garcia Manu  M.","ALA",30,27,2438,2497,722,43,53,0,47,5,13,0
"Schar Fabian  F.","DEP",25,25,2220,2491,749,43,52,0,38,4,2,0
"Molina Jorge  J.","GET",36,31,2790,2490,479,12,18,0,10,39,30,0
"Ivi ","LEV",29,17,1759,2483,439,12,37,0,18,4,106,28
"N'Diaye Diedhiou Amath  A.","GET",37,36,2883,2478,403,48,48,0,41,9,41,0
"Adrian ","MAG",29,27,2312,2462,833,29,28,0,29,2,21,1
"Fajr Faycal  F.","GET",31,26,2383,2460,718,53,34,0,38,1,137,55
"Amrabat Noureddine  N.","LGN",30,17,1620,2452,302,3,25,0,5,24,73,3
"Espinosa Bernardo  B.","GIR",34,32,2868,2449,917,81,33,0,20,3,5,0
"Perez Lucas  L.","DEP",35,31,2796,2447,624,11,16,0,7,37,189,107
"Zubeldia Igor  I.","RSO",25,16,1578,2444,808,14,37,0,21,1,11,1
"Benzema Karim  K.","RMD",32,25,2156,2441,695,11,12,0,8,16,24,0
"Djene ","GET",36,36,3239,2438,689,141,48,0,55,1,12,0
"Tana ","LP",24,16,1553,2432,695,14,23,0,16,0,62,40
"Pina ","ALA",30,28,2392,2429,781,35,41,0,42,1,8,0
"Pedraza Alfonso  A.","ALA",33,27,2441,2420,452,26,41,0,33,5,98,2
"Garcia Raul  R.","ATH",34,30,2637,2400,487,14,60,0,55,15,46,1
"Bale Gareth  G.","RMD",26,20,1803,2400,582,9,20,0,11,13,68,1
"El Zhar Nabil  N.","LGN",30,20,1981,2387,452,11,27,0,0,6,83,11
"Colak Emre  E.","DEP",26,17,1452,2376,659,8,5,0,9,2,81,30
"Vitolo ","ATL",23,16,1309,2376,527,6,32,0,14,5,25,1
"Willian Jose ","RSO",34,32,2780,2354,594,11,13,0,3,20,22,1
"Ely Rodrigo  R.","ALA",31,30,2692,2353,712,53,58,0,27,2,2,0
"Mercado Gabriel  G.","SEV",26,25,2122,2353,865,57,50,0,41,6,22,0
"Boudebouz Ryad  R.","BET",27,15,1361,2345,654,8,20,0,15,1,63,24
"Calleri Jonathan  J.","LP",37,34,3111,2320,424,11,22,0,14,39,49,0
"Garay Ezequiel  E.","VAL",24,23,2030,2312,880,53,26,0,16,1,2,0
"Eraso ","LGN",34,31,2540,2310,615,16,42,0,11,6,99,49
"Adan ","BET",30,30,2700,2300,684,0,0,0,1,0,0,0
"Luna Antonio  A.","LEV",23,22,2021,2295,668,31,69,0,16,3,70,0
"Aquilani Alberto  A.","LP",21,15,1298,2293,829,16,25,0,30,1,12,0
"Postigo Sergio  S.","LEV",30,27,2426,2288,753,67,38,0,27,0,7,0
"Baptistao Leo  L.","ESP",36,31,2686,2262,440,15,36,0,28,15,58,1
"Kovacic Mateo  M.","RMD",21,10,988,2256,725,10,12,0,24,0,5,0
"Savic Stefan  S.","ATL",27,26,2299,2255,808,44,46,0,15,0,4,0
"Pena Ruben  R.","EIB",28,18,1727,2247,665,40,38,0,13,5,73,0
"De la Bella Alberto  A.","RSO",17,17,1529,2241,852,15,37,0,19,6,82,0
"Rodrigues Kevin  K.","RSO",20,18,1633,2234,736,18,39,0,24,0,78,1
"Jozabed ","CEL",24,18,1483,2224,761,13,15,0,6,2,10,1
"Garcia Kike  K.","EIB",35,28,2464,2206,440,20,20,0,12,15,23,0
"San Jose ","ATH",26,24,2156,2192,784,41,47,0,52,0,17,0
"Castellano Javi  J.","LP",23,17,1565,2176,911,13,33,0,29,0,4,0
"Laporte Aymeric  A.",NA,19,19,1710,2175,792,33,22,0,27,2,14,0
"Chichizola Leandro  L.","LP",27,27,2430,2142,658,7,0,0,0,0,1,0
"Cordoba Inigo  I.","ATH",30,18,1457,2134,361,23,29,0,36,5,82,0
"Vrsaljko Sime  S.","ATL",21,19,1697,2131,610,34,46,0,30,3,107,3
"Duarte Ruben  R.","ALA",24,24,2141,2121,698,51,82,0,46,1,56,0
"Tello Cristian  C.","BET",32,16,1684,2121,541,11,24,0,12,10,30,4
"Nolito ","SEV",30,17,1599,2102,467,16,25,0,15,20,46,17
"Halilovic Alen  A.","LP",20,16,1306,2094,381,3,10,0,8,1,85,24
"Bardhi Enis  E.","LEV",26,16,1580,2082,511,17,19,0,22,3,69,43
"Cartabia Fede  F.","DEP",20,16,1332,2076,438,4,35,0,12,4,61,16
"Gomez Vicente  V.","LP",25,17,1525,2058,756,14,19,0,25,0,16,0
"Dmitrovic Marko  M.","EIB",36,36,3240,2056,393,14,1,0,1,0,1,1
"Ramalho Jonas  J.","GIR",26,25,2297,2036,669,68,46,0,12,1,12,0
"Rulli Geronimo  G.","RSO",26,26,2340,2030,715,0,0,0,0,0,0,0
"Etebo Oghenekaro  O.","LP",14,14,1215,2028,536,19,32,0,14,1,3,2
"Jurado Jose Manuel  J.","ESP",29,20,1506,2025,505,10,14,0,12,0,33,0
"Gomez Maxi  M.","CEL",36,35,3077,2023,412,8,11,0,2,32,24,0
"Granero Esteban  E.","ESP",25,11,1222,2004,603,24,23,0,20,1,87,40
"Lemos Mauricio  M.",NA,16,14,1262,1996,730,12,26,0,21,0,0,0
"Camarasa Victor  V.","BET",24,14,1253,1995,541,14,16,0,6,2,8,1
"Piatti Pablo  P.","ESP",30,22,1747,1972,423,19,35,0,19,7,171,63
"De Marcos ","ATH",21,20,1663,1969,704,23,27,0,11,4,83,0
"Aguirregabiria Martin  M.","ALA",21,20,1829,1962,626,39,42,0,21,0,56,0
"Arrizabalaga Kepa  K.","ATH",30,30,2700,1954,458,2,0,0,0,0,1,0
"Aguirregaray Matias  M.","LP",15,14,1155,1951,522,17,29,0,17,1,33,0
"Hermoso Mario  M.","ESP",22,22,1929,1944,668,26,28,0,8,1,3,2
"Feddal Zouhair  Z.","BET",15,14,1257,1943,632,32,22,0,22,1,7,0
"Orellana Fabian  F.","EIB",17,13,1182,1936,367,8,16,0,5,4,71,23
"Sidnei ","DEP",21,21,1779,1916,615,33,42,0,19,0,5,0
"Coke ","LEV",17,16,1385,1894,553,36,41,0,23,4,46,0
"Krohn-Dehli Michael  M.","DEP",24,15,1266,1892,609,8,19,0,7,2,39,20
"Oliveira Paulo  P.","EIB",26,25,2215,1881,645,55,35,0,25,0,2,0
"Dembele Ousmane  O.","BAR",17,12,930,1875,391,6,6,0,7,3,63,26
"Benat ","ATH",24,12,1115,1872,631,17,15,0,17,0,102,50
"Cuellar Ivan  I.","LGN",35,35,3150,1866,288,5,0,0,2,0,0,0
"Balenziaga ","ATH",18,18,1554,1860,603,28,36,0,21,0,48,0
"Jason ","LEV",27,22,1792,1838,369,28,23,0,16,5,71,13
"Vezo Ruben  R.","VAL",19,17,1554,1837,613,25,40,0,26,1,20,0
"Fuego Javi  J.","VIL",28,23,1880,1833,681,32,23,0,28,0,4,0
"Kjaer Simon  S.","SEV",20,18,1571,1828,639,36,30,0,22,0,2,0
"Siovas Dimitrios  D.","LGN",24,24,2061,1824,541,48,53,0,35,2,3,0
"Arambarri Mauro  M.","GET",27,26,2135,1807,447,50,43,0,28,0,9,0
"Mosquera Pedro  P.","DEP",23,16,1397,1801,585,23,34,0,27,0,19,0
"Francis ","BET",14,10,991,1797,465,21,28,0,17,1,37,0
"Correa Joaquin  J.","SEV",21,15,1198,1790,376,10,11,0,10,5,13,1
"Omar ","LGN",23,18,1457,1750,350,13,30,0,11,2,83,24
"Murillo Jeison  J.","VAL",17,15,1374,1747,661,45,28,0,21,2,1,0
"Gimenez Jose Maria  J.","ATL",23,17,1684,1719,579,37,42,0,22,2,6,0
"Juanfran ","ATL",17,15,1308,1718,568,22,37,0,19,5,43,0
"Lopez Pedro  P.","LEV",21,18,1596,1711,609,34,34,0,23,4,59,0
"Bacca Carlos  C.","VIL",35,30,2511,1708,360,9,10,0,5,40,36,1
"Angel ","GET",33,26,2298,1702,254,10,19,0,17,32,39,0
"Pacheco Fernando  F.","ALA",38,37,3357,1685,303,4,0,0,0,0,0,0
"Muriel Luis  L.","SEV",29,17,1603,1681,298,6,12,0,10,30,26,2
"Hernandez Theo  T.","RMD",13,10,961,1675,544,12,17,1,15,1,39,0
"Miquel Ignasi  I.","MAG",20,20,1775,1671,507,38,32,0,21,0,1,0
"Soriano Roberto  R.","VIL",22,11,1135,1669,397,6,17,0,17,7,22,4
"Guaita ","GET",33,33,2970,1664,235,3,0,0,0,0,1,0
"Raba Daniel  D.","VIL",21,14,1113,1657,387,8,25,0,23,8,47,21
"Roberto ","MAG",34,34,3060,1628,310,1,0,0,0,0,1,0
"Saborit Enric  E.","ATH",19,16,1429,1612,539,35,35,0,26,1,45,0
"Alexis ","ALA",28,25,2184,1602,527,32,46,0,27,2,10,0
"Chema ","LEV",25,23,2017,1601,530,63,46,0,21,2,1,0
"Fontas Andreu  A.","CEL",12,9,884,1600,615,9,19,0,5,0,0,0
"Escalante Gonzalo  G.","EIB",28,16,1561,1598,474,26,41,0,24,0,9,0
"Muniain Iker  I.","ATH",14,7,775,1598,360,0,1,0,4,1,17,5
"Layun Miguel  M.","SEV",16,11,1181,1598,502,26,35,0,16,0,64,12
"Tono ","LEV",12,12,1080,1595,452,22,16,0,9,0,48,0
"Medran Alvaro  A.","ALA",18,10,1014,1590,400,6,14,0,10,2,20,4
"Bustinza Unai  U.","LGN",20,18,1636,1579,532,20,47,0,35,2,18,0
"Ben Yedder Wissam  W.","SEV",25,18,1699,1546,348,12,7,0,4,21,21,0
"Rober ","LEV",25,19,1904,1544,520,53,40,0,16,0,2,0
"Aduriz ","ATH",33,21,2149,1540,288,5,11,0,5,35,27,0
"Pereira Andreas  A.","VAL",23,12,1076,1531,263,7,12,0,23,1,75,9
"Cala Juan  J.",NA,20,20,1800,1521,423,51,36,0,14,2,2,0
"Iturra Manuel  M.","MAG",20,18,1583,1521,502,30,21,0,56,0,15,4
"Ramis Ivan  I.","EIB",16,15,1303,1520,543,46,27,0,6,2,2,0
"Muniesa Marc  M.","GIR",13,13,1129,1515,496,24,26,0,16,0,2,0
"Radoja Nemanja  N.","CEL",26,11,1097,1510,517,16,8,0,10,1,5,1
"Firpo Junior  J.","BET",14,14,1190,1506,536,5,48,0,18,0,22,0
"Lucas ",NA,15,13,1182,1505,512,24,27,0,33,2,21,0
"Albentosa Raul  R.","DEP",20,19,1749,1501,567,21,38,0,10,1,3,0
