"Names","Clubs","GP","GS","MP","FS","FC","YC","RC","OFF","C","CK","PKG","PK"
"Lopez Pau  P.","ESP",29,28,2566,3,0,3,0,0,0,0,0,0
"Ruiz Fabian  F.","BET",34,30,2662,35,27,3,0,2,23,1,0,0
"Navarro Ximo  X.",NA,12,10,941,20,8,3,0,0,6,0,0,0
"Martinez Ruben  R.","DEP",28,27,2477,5,0,3,0,0,0,0,0,0
"Jordan Joan  J.","EIB",35,25,2422,19,34,3,1,5,118,64,1,2
"Vezo Ruben  R.","VAL",19,17,1554,14,23,3,1,1,20,0,0,0
"Ramalho Jonas  J.","GIR",26,25,2297,12,20,3,0,1,12,0,0,0
"Lacen Mehdi  M.","MAG",19,12,1123,11,21,3,0,0,9,0,0,0
"Cordoba Inigo  I.","ATH",30,18,1457,35,20,3,0,5,82,0,0,0
"Oliveira Paulo  P.","EIB",26,25,2215,12,15,3,0,0,2,0,0,0
"Garcia Aleix  A.","GIR",20,7,843,5,5,3,0,0,37,30,0,0
"Kjaer Simon  S.","SEV",20,18,1571,9,17,3,0,0,2,0,0,0
"Ivi ","LEV",29,17,1759,20,40,3,0,4,106,28,1,1
"Muniesa Marc  M.","GIR",13,13,1129,9,11,3,0,0,2,0,0,0
"Vila Didac  D.","ESP",14,7,725,13,13,3,0,1,33,2,0,0
"Perez Lucas  L.","DEP",35,31,2796,33,26,3,0,37,189,107,3,4
"Lomban David  D.","EIB",13,11,996,5,9,3,0,1,0,0,0,0
"Penalba Gabriel  G.","LP",7,7,572,4,9,3,0,0,1,0,0,0
"Cabrera Leandro  L.","GET",9,8,720,2,14,3,0,1,24,0,0,0
"Aguirregaray Matias  M.","LP",15,14,1155,21,20,3,0,1,33,0,0,0
"Moron Loren  L.","BET",15,12,1064,28,25,3,0,5,4,0,0,0
"Etebo Oghenekaro  O.","LP",14,14,1215,45,21,3,0,1,3,2,0,0
"Sanchez Carlos  C.","ESP",14,13,1123,14,25,3,0,0,2,0,0,0
"Flamini Mathieu  M.","GET",8,6,482,1,13,3,1,0,5,0,0,0
"Muntari Sulley  S.","DEP",8,6,408,7,11,3,0,0,8,0,0,0
"Enrich Sergi  S.","EIB",19,14,1330,28,20,2,0,20,7,1,0,0
"Camarasa Victor  V.","BET",24,14,1253,31,19,2,0,2,8,1,0,0
"Pacheco Fernando  F.","ALA",38,37,3357,3,0,2,0,0,0,0,0,0
"Torres Daniel  D.","ALA",18,14,1218,15,22,2,0,0,4,0,0,0
"Etxeita ","ATH",5,5,377,2,10,2,0,0,1,0,0,0
"Rico Mikel  M.","ATH",17,13,1170,22,19,2,0,0,11,1,0,0
"Susaeta ","ATH",34,26,2268,49,20,2,0,9,189,87,0,0
"Yeray ","ATH",8,7,675,9,12,2,0,0,3,0,0,0
"Digne Lucas  L.","BAR",12,8,702,7,12,2,0,2,17,0,0,0
"Fontas Andreu  A.","CEL",12,9,884,1,6,2,0,0,0,0,0,0
"Roncaglia Facundo  F.","CEL",21,17,1492,9,16,2,0,1,7,0,0,0
"Sisto Pione  P.","CEL",34,31,2534,73,15,2,0,10,92,26,0,0
"Garcia David  D.","LP",11,9,859,14,11,2,0,0,5,0,0,0
"Mesa Roque  R.","SEV",7,4,342,7,10,2,0,0,2,1,0,0
"Tana ","LP",24,16,1553,36,11,2,0,0,62,40,0,0
"Juankar ","MAG",10,9,784,8,9,2,0,1,26,0,0,0
"Asensio Marco  M.","RMD",32,19,1839,28,8,2,0,3,123,49,0,0
"Kovacic Mateo  M.","RMD",21,10,988,20,10,2,0,0,5,0,0,0
"Rodrigues Kevin  K.","RSO",20,18,1633,15,23,2,0,0,78,1,0,0
"Zurutuza ","RSO",31,26,2248,46,44,2,0,1,18,1,0,0
"Domenech Jaume  J.","VAL",5,5,450,1,0,2,0,0,0,0,0,0
"Medran Alvaro  A.","ALA",18,10,1014,15,21,2,0,2,20,4,0,0
"Cheryshev Denis  D.","VIL",24,9,920,15,21,2,0,5,42,0,0,0
"Leiva Nahuel  N.",NA,7,3,249,6,7,2,0,0,6,0,0,0
"Krohn-Dehli Michael  M.","DEP",24,15,1266,6,12,2,0,2,39,20,0,0
"N'Zonzi Steven  S.","SEV",27,26,2215,13,31,2,0,2,11,0,0,0
"Pareja Nico  N.","SEV",5,5,405,2,10,2,0,0,1,0,0,0
"Rico Sergio  S.","SEV",24,23,2155,3,1,2,0,0,0,0,0,0
"Vietto Luciano  L.","VAL",20,9,795,14,9,2,0,8,14,0,0,0
"Torres Fernando  F.","ATL",27,7,966,23,17,2,0,10,9,0,0,1
"El Zhar Nabil  N.","LGN",30,20,1981,35,31,2,0,6,83,11,0,0
"Garcia Samu  S.","MAG",18,4,358,6,22,2,1,1,7,0,0,0
"Moran Erik  E.",NA,6,2,225,0,3,2,0,0,2,0,0,0
"Tello Cristian  C.","BET",32,16,1684,20,15,2,0,10,30,4,0,0
"Chichizola Leandro  L.","LP",27,27,2430,6,0,2,0,0,1,0,0,0
"Olazabal Oier  O.","LEV",26,26,2340,5,1,2,0,0,0,0,0,0
"Baston Borja  B.","MAG",20,8,977,6,16,2,0,9,6,0,1,2
"Jason ","LEV",27,22,1792,29,30,2,0,5,71,13,0,0
"Tono ","LEV",12,12,1080,8,6,2,0,0,48,0,0,0
"Bounou Yassine  Y.","GIR",30,30,2655,1,1,2,0,0,1,0,0,0
"Garcia Borja  B.","GIR",37,34,2812,110,27,2,0,0,118,46,0,0
"Neto ","VAL",33,33,2970,4,0,2,0,0,1,0,0,0
"Toledo Hernan  H.","LP",15,6,617,10,8,2,0,3,30,0,0,0
"Lobotka Stanislav  S.","CEL",38,34,3061,46,42,2,0,0,14,0,0,0
"Shibasaki Gaku  G.","GET",22,12,1003,13,27,2,0,5,31,15,0,0
"Cecchini Emanuel  E.",NA,2,0,29,0,2,2,0,0,0,0,0,0
"Navas Jesus  J.","SEV",26,20,1762,25,16,2,0,8,109,3,0,0
"Munoz Ezequiel  E.","LGN",19,17,1407,6,18,2,0,2,2,0,0,0
"Boudebouz Ryad  R.","BET",27,15,1361,17,21,2,0,1,63,24,0,0
"Naldo ","ESP",11,10,922,0,7,2,0,1,1,0,0,0
"Paulinho ","BAR",34,21,1939,32,32,2,0,4,7,0,0,0
"Kayode Olarenwaju  O.","GIR",12,2,375,11,11,2,0,5,5,0,0,0
"Francis ","BET",14,10,991,27,18,2,0,1,37,0,0,0
"Dembele Ousmane  O.","BAR",17,12,930,18,10,2,0,3,63,26,0,0
"Guedes Goncalo  G.","VAL",33,27,2441,71,33,2,0,10,81,5,0,0
"Naranjo ","LGN",16,6,561,4,12,2,0,2,18,8,0,0
"Mina Yerry  Y.","BAR",5,4,370,6,6,2,0,1,0,0,0,0
"Coquelin Francis  F.","VAL",9,7,656,7,15,2,0,1,6,0,0,0
"Ideye Brown  B.","MAG",13,8,731,14,12,2,0,8,4,0,0,0
"Boye Lucas  L.","CEL",13,2,267,1,11,2,0,0,12,0,0,0
"Nano ",NA,9,2,274,4,7,1,0,5,1,0,0,0
"Pedro Leon ","EIB",12,10,929,10,12,1,0,3,146,68,0,0
"Pena Ruben  R.","EIB",28,18,1727,18,17,1,0,5,73,0,0,0
"Sarriegi Imanol  I.","EIB",3,0,37,0,1,1,0,0,0,0,0,0
"Garcia Raul  R.","LGN",19,15,1388,19,9,1,0,0,90,16,0,0
"Hernandez Theo  T.","RMD",13,10,961,15,11,1,0,1,39,0,0,0
"Ibai ","ALA",34,26,2324,20,17,1,0,8,189,81,1,1
"Llorente Marcos  M.","RMD",13,5,540,4,6,1,0,0,1,0,0,0
"Balenziaga ","ATH",18,18,1554,15,22,1,0,0,48,0,0,0
"Iraizoz ","GIR",9,8,765,0,0,1,0,0,0,0,0,0
"Merino Sabin  S.","ATH",13,4,371,6,6,1,0,3,5,0,0,0
"Muniain Iker  I.","ATH",14,7,775,30,5,1,0,1,17,5,0,0
"Deulofeu Gerard  G.",NA,10,5,503,5,11,1,0,4,29,14,0,0
"Gomes Andre  A.","BAR",16,6,629,5,16,1,0,3,4,0,0,0
"Iniesta Andres  A.","BAR",30,25,1842,42,15,1,0,0,34,1,0,0
"Suarez Denis  D.","BAR",18,4,584,10,6,1,0,0,31,21,0,0
"Duarte Oscar  O.","ESP",11,11,990,6,8,1,0,0,1,0,0,0
"Jurado Jose Manuel  J.","ESP",29,20,1506,34,6,1,0,0,33,0,0,0
"Lopez Diego  D.","ESP",10,10,854,1,1,1,0,0,0,0,0,0
"Melendo ","ESP",18,6,680,21,6,1,0,0,9,2,0,0
"Exposito Edu  E.","DEP",3,0,94,1,2,1,0,0,1,0,0,0
"Gama Bruno  B.",NA,6,1,112,4,5,1,0,0,5,3,0,0
"Halilovic Alen  A.","LP",20,16,1306,25,9,1,1,1,85,24,0,0
"Hernan ",NA,7,4,351,7,8,1,0,0,3,1,0,0
"Jony ",NA,5,1,214,2,2,1,0,0,31,9,0,0
"Juanpi ","MAG",16,5,604,15,4,1,0,0,18,7,0,0
"Mula Alejandro  A.",NA,11,7,562,4,6,1,0,2,26,2,0,0
"Ronaldo Cristiano  C.","RMD",27,27,2292,18,19,1,0,41,42,4,3,4
"Isco ","RMD",30,21,1778,59,19,1,0,6,112,49,0,0
"Navas Keylor  K.","RMD",27,27,2430,3,1,1,0,0,0,0,0,0
"Elustondo Aritz  A.","RSO",19,18,1598,10,20,1,0,3,11,0,0,0
"Prieto Xabi  X.","RSO",26,24,1940,32,15,1,0,4,75,15,1,1
"Gil Nacho  N.","LP",20,10,958,32,21,1,0,2,48,34,0,0
"Vidal Nacho  N.","VAL",7,5,446,3,5,1,0,0,6,0,0,0
"Adrian ","DEP",30,26,2346,29,17,1,0,12,53,2,0,0
"Guerra Ramiro  R.","VIL",4,0,67,2,1,1,0,0,1,0,0,0
"Sansone Nicola  N.","VIL",18,5,627,12,3,1,0,9,28,9,1,1
"Unal Enes  E.","VIL",30,18,1718,34,42,1,0,13,8,0,0,0
"Carrico Daniel  D.","SEV",6,5,459,0,5,1,0,0,0,0,0,0
"Soria David  D.","SEV",15,15,1265,1,0,1,0,0,0,0,0,0
"Vitolo ","ATL",23,16,1309,51,24,1,1,5,25,1,0,0
"Fernandez Augusto  A.",NA,5,1,105,1,1,1,0,0,1,0,0,0
"Oblak Jan  J.","ATL",37,37,3330,3,2,1,0,0,0,0,0,0
"Marin Adrian  A.","VIL",3,2,233,0,6,1,0,0,2,0,0,0
"Szymanowski Alexander  A.","LGN",13,13,1064,18,19,1,0,8,46,9,1,1
"Aketxe Ager  A.",NA,3,0,34,0,1,1,0,0,6,3,0,0
"Dmitrovic Marko  M.","EIB",36,36,3240,5,0,1,0,0,1,1,0,0
"Baysse Paul  P.",NA,15,13,1238,8,20,1,0,4,1,0,0,0
"Valle Borja  B.","DEP",17,3,474,8,12,1,0,6,8,0,0,0
"Burgui ","ALA",23,12,1034,18,13,1,0,6,25,2,0,0
"Maksimovic Nemanja  N.","VAL",15,6,551,2,5,1,0,0,8,0,0,0
"Guaita ","GET",33,33,2970,4,0,1,0,0,1,0,0,0
"Semedo Nelson  N.","BAR",24,17,1495,22,12,1,0,3,26,0,0,0
"Gonzalez Fabio  F.","LP",1,1,65,0,1,1,0,0,0,0,0,0
"Chuca ","VIL",4,1,86,2,3,1,0,0,9,6,0,0
"Rolon Esteban  E.","MAG",8,6,421,4,12,1,0,0,1,0,0,0
"Campbell Joel  J.","BET",8,2,209,13,3,1,0,0,6,0,0,0
"Tannane Oussama  O.",NA,10,7,574,17,15,1,0,1,34,21,0,0
"Sanchez Sergio  S.","ESP",2,1,102,0,2,1,0,0,2,0,0,0
"Jairo ","LP",11,6,558,7,11,1,0,3,13,0,0,0
"Coutinho Philippe  P.","BAR",18,16,1303,32,13,1,0,8,61,51,0,0
"Martinez Roger  R.","VIL",8,2,226,10,6,1,0,1,5,0,0,0
"Ndockyt Merveil  M.","GET",6,0,62,3,4,1,0,0,1,0,0,0
"Aldawsari Salem  S.","VIL",1,0,33,1,1,1,0,1,0,0,0,0
"Pazzini Giampaolo  G.","LEV",9,5,444,11,10,1,0,5,4,0,0,0
"Sadiku Armando  A.","LEV",6,4,267,1,6,1,0,2,2,0,0,0
"Lestienne Maxime  M.","MAG",12,8,671,3,3,1,0,1,39,6,0,0
"Moreno Hector  H.","RSO",8,8,720,13,9,1,0,1,3,0,0,0
"Carlos Isaac ","ATL",1,1,64,1,2,1,0,0,1,0,0,0
"Rodriguez Ivan  I.","MAG",1,0,19,0,1,1,0,0,0,0,0,0
"Bebe ",NA,9,3,361,4,8,0,0,3,47,7,0,0
"Riesgo Asier  A.","EIB",1,1,90,0,0,0,0,0,0,0,0,0
"Rivera Cristian  C.",NA,7,2,241,0,3,0,0,0,1,0,0,0
"Yoel ","EIB",1,1,90,0,0,0,0,0,0,0,0,0
"Amagat Eloi  E.","GIR",2,0,14,0,0,0,0,0,1,0,0,0
"Katai Aleksandar  A.",NA,3,0,52,1,2,0,0,1,0,0,0,0
"Romero Oscar  O.",NA,5,2,248,10,6,0,0,0,13,3,0,0
"Lopez Andoni  A.","ATH",1,1,90,1,3,0,0,0,3,0,0,0
"Alcacer Paco  P.","BAR",17,8,694,9,2,0,0,7,10,3,0,0
"Cillessen Jasper  J.","BAR",1,1,90,0,0,0,0,0,0,0,0,0
"Mascherano Javier  J.",NA,7,6,541,1,9,0,0,0,0,0,0,0
"Ter Stegen Marc-Andre  M.","BAR",37,37,3330,1,0,0,0,0,0,0,0,0
"Vidal Aleix  A.","BAR",15,4,453,12,2,0,0,2,13,4,0,0
"Hjulsager Andrew  A.",NA,2,0,12,0,0,0,0,0,1,0,0,0
"Planas Carles  C.","GIR",5,2,191,0,2,0,0,0,9,0,0,0
"Alvarez Sergio  S.","CEL",17,16,1475,5,0,0,0,0,1,0,0,0
"Piatti Pablo  P.","ESP",30,22,1747,53,34,0,0,7,171,63,1,1
"Prieto Andres  A.","MAG",4,4,360,0,0,0,0,0,0,0,0,0
"Roberto ","MAG",34,34,3060,4,0,0,0,0,1,0,0,0
"Roca Marc  M.","ESP",8,2,259,0,7,0,0,0,1,1,0,0
"Arribas Alejandro  A.",NA,3,3,270,2,5,0,0,0,0,0,0,0
"Gil Carles  C.","DEP",10,6,478,16,3,0,0,0,13,7,0,0
"Tyton Przemyslaw  P.","DEP",2,1,97,0,0,0,0,0,0,0,0,0
"Artiles Aythami  A.",NA,3,2,183,1,0,0,0,0,0,0,0,0
"Exposito Erik  E.","LP",10,4,462,4,5,0,0,2,3,0,0,0
"Lizoain Raul  R.","LP",11,11,990,3,0,0,0,0,0,0,0,0
"Ramirez Benito  B.","LP",4,1,164,1,1,0,0,0,20,4,0,0
"Ramirez Sandro  S.","SEV",13,7,715,22,17,0,0,5,25,9,0,0
"Benzema Karim  K.","RMD",32,25,2156,12,18,0,0,16,24,0,2,2
"Casilla Kiko  K.","RMD",10,10,900,0,0,0,0,0,0,0,0,0
"Hakimi Achraf  A.","RMD",9,8,757,7,8,0,0,1,30,0,0,0
"Zidane Enzo  E.",NA,2,1,71,0,0,0,0,0,0,0,0,0
"Zidane Luca  L.","RMD",1,1,90,0,0,0,0,0,0,0,0,0
"Agirretxe ","RSO",11,2,223,4,1,0,0,1,2,0,0,0
"Bautista Jon  J.","RSO",11,1,172,1,6,0,0,1,1,0,0,0
"Guridi Jon  J.","RSO",4,0,50,1,0,0,0,0,0,0,0,0
"Martinez Carlos  C.","RSO",1,0,2,1,1,0,0,0,0,0,0,0
"Tono ","RSO",4,3,315,0,0,0,0,0,0,0,0,0
"Vela Carlos  C.",NA,13,2,373,18,6,0,0,2,22,11,0,0
"Cancelo Joao  J.",NA,1,1,90,2,3,0,0,0,9,0,0,0
"Sivera Antonio  A.","ALA",1,1,63,0,0,0,0,0,0,0,0,0
"Barbosa ","VIL",13,12,1125,3,0,0,0,0,0,0,0,0
"Fernandez Andres  A.","VIL",3,3,225,0,0,0,0,0,0,0,0,0
"Gonzalez Mario  M.","VIL",2,0,16,0,0,0,0,1,1,0,0,0
"Poveda Dario  D.","VIL",1,0,1,0,0,0,0,0,0,0,0,0
"Suarez Leo  L.","VIL",1,0,28,1,0,0,0,1,1,0,0,0
"Torres Pau  P.","VIL",2,0,51,0,2,0,0,0,0,0,0,0
"Alegria Alex  A.","LEV",9,8,632,18,16,0,0,5,2,0,0,0
"Castro Ruben  R.","BET",10,3,354,5,1,0,0,6,1,0,1,1
"Ceballos Dani  D.","RMD",12,4,397,15,7,0,0,0,5,4,0,0
"Gimenez Dani  D.","BET",4,4,309,1,0,0,0,0,0,0,0,0
"Lopez Pedro  P.","BET",5,4,411,0,0,0,0,0,0,0,0,0
"Navarro Rafa  R.","BET",3,1,133,3,2,0,0,0,3,0,0,0
"Pardo Ruben  R.","RSO",6,3,223,2,1,0,1,0,9,5,0,0
"Sanabria Tony  T.","BET",17,8,847,15,12,0,0,8,3,0,0,0
"Tosca Alin  A.",NA,6,5,424,3,5,0,0,0,8,0,0,0
"Ganso ","SEV",8,7,524,11,5,0,0,0,6,4,0,0
"Montoya Walter  W.",NA,1,1,77,2,3,0,0,1,1,0,0,0
"Gaitan Nico  N.",NA,6,1,216,4,1,0,0,1,10,5,0,0
"Gameiro Kevin  K.","ATL",25,11,1119,10,9,0,0,12,7,0,2,2
"Moya Toni  T.","ATL",1,0,2,0,0,0,0,0,0,0,0,0
"Moya ","RSO",9,9,765,0,1,0,0,0,0,0,0,0
"Arribas Sergio  S.","LGN",1,0,22,0,0,0,0,0,0,0,0,0
"Bueno Alberto  A.","MAG",11,1,217,7,3,0,0,1,5,0,0,0
"Champagne Nereo  N.","LGN",2,2,180,0,0,0,0,0,0,0,0,0
"Herrerin Iago  I.","ATH",8,8,720,2,2,0,0,0,0,0,0,0
"Mozo Alex  A.","LGN",1,0,45,1,2,0,0,0,0,0,0,0
"Serantes Jon Ander  J.","LGN",1,1,90,0,0,0,0,0,0,0,0,0
"Tito ","LGN",9,6,607,6,8,0,0,0,15,0,0,0
"Koke ","LEV",1,1,90,0,0,0,1,0,0,0,0,0
"Moore Shaq  S.","LEV",6,5,424,3,8,0,0,0,12,0,0,0
"Mayoral Borja  B.","RMD",14,3,338,5,4,0,0,7,1,0,0,0
"Hernandez Hector  H.","ALA",1,0,15,0,0,0,0,0,0,0,0,0
"Samper Sergi  S.",NA,2,2,145,2,2,0,0,0,2,0,0,0
"Pacheco Dani  D.","GET",11,0,165,0,0,0,0,0,19,6,0,0
"Valverde Fede  F.","DEP",24,12,1229,3,14,0,0,1,18,3,0,0
"Semedo Ruben  R.","VIL",4,3,231,1,1,0,0,0,0,0,0,0
"Werner Axel  A.","ATL",1,1,90,0,0,0,0,0,0,0,0,0
"Araujo Sergio  S.",NA,2,0,37,0,0,0,0,0,0,0,0,0
"Vallejo Jesus  J.","RMD",7,7,630,2,2,0,0,1,1,0,0,0
"Cifuentes ",NA,2,1,107,2,4,0,0,0,12,0,0,0
"N'Diaye Alfred  A.",NA,2,1,100,0,2,0,0,0,0,0,0,0
"Fernandez Raul  R.","LEV",11,11,990,2,0,0,0,0,0,0,0,0
"Lopez Ivan  I.","LEV",3,3,175,0,0,0,0,0,12,0,0,0
"Valentin Gerard  G.","DEP",3,2,158,1,1,0,0,0,1,0,0,0
"Fernandez Carlos  C.","SEV",2,2,139,1,4,0,0,0,2,0,0,0
"Uzoho Francis  F.","DEP",2,2,180,1,0,0,0,0,0,0,0,0
"Herrera Borja  B.",NA,3,3,242,1,1,0,0,0,14,0,0,0
"Soni Kevin  K.","GIR",2,0,17,0,1,0,0,0,0,0,0,0
"Moreno Marlos  M.",NA,2,0,28,0,2,0,0,0,0,0,0,0
"Martinez Emi  E.","GET",5,5,450,1,0,0,0,0,0,0,0,0
"Olivera Mathias  M.","GET",3,1,102,0,2,0,0,0,2,0,0,0
"Lasso Borja  B.",NA,1,1,54,0,2,0,0,0,0,0,0,0
"Narvaez Juan Jose  J.",NA,7,4,304,16,4,0,0,0,5,0,0,0
"Mendez Brais  B.","CEL",20,12,949,14,17,0,0,3,31,6,0,0
"Rolan Diego  D.","MAG",26,21,1944,48,27,0,0,17,35,1,0,0
"Krkic Bojan  B.","ALA",13,4,436,17,0,0,0,3,3,0,0,0
"Carole Lionel  L.",NA,6,6,540,6,4,0,0,0,13,0,0,0
"Olunga Michael  M.","GIR",14,4,427,2,12,0,0,7,4,0,0,0
"Pantilimon Costel  C.",NA,6,6,540,0,0,0,0,0,0,0,0,0
"Geis Johannes  J.","SEV",14,7,670,2,9,0,0,0,13,1,0,0
"Montero Jefferson  J.",NA,4,0,55,0,2,0,0,0,8,0,0,0
"Gorosabel Andoni  A.","RSO",2,1,76,1,1,0,0,0,3,0,0,0
"Gracia Julio  J.","BET",2,0,21,0,0,0,0,0,1,0,0,0
"Barri ","GET",2,1,112,0,3,0,0,0,0,0,0,0
"Calderon Carlos  C.","GET",1,0,3,0,0,0,0,0,0,0,0,0
"Robles Alex  A.","MAG",1,1,90,1,3,0,0,0,1,0,0,0
"Hacen ","LEV",2,1,82,1,1,0,0,0,0,0,0,0
"Torres Ferran  F.","VAL",13,2,302,6,4,0,0,0,16,1,0,0
"Ruibal Aitor  A.",NA,2,0,7,0,1,0,0,0,0,0,0,0
"Lopez Victor  V.","ALA",1,1,61,0,0,0,0,1,6,0,0,0
"Arana Guilherme  G.","SEV",3,2,192,2,2,0,0,0,3,0,0,0
"Demirovic Ermedin  E.","ALA",3,2,181,3,5,0,0,2,2,0,0,0
"Mazan Robert  R.","CEL",2,1,82,0,2,0,0,0,3,0,0,0
"Arnaiz Jose  J.",NA,1,0,5,0,1,0,0,0,0,0,0,0
"One Aldo  A.","DEP",1,1,90,0,1,0,0,0,0,0,0,0
"Almuwallad Fahad  F.",NA,2,0,25,0,1,0,0,0,0,0,0,0
"Koval Maksym  M.","DEP",2,2,122,0,1,0,1,0,0,0,0,0
"Sierra Jaime  J.","LGN",2,0,26,0,1,0,0,0,0,0,0,0
"Lozano Choco  C.","GIR",14,4,465,10,18,0,0,4,13,0,0,0
"Success Isaac  I.","MAG",9,7,496,26,15,0,0,6,19,0,0,0
"Rochina Ruben  R.","LEV",5,1,148,5,2,0,1,0,5,0,0,0
"Ezekiel Imoh  I.","LP",10,5,468,7,6,0,0,2,18,0,0,0
"Duro Hugo  H.","GET",2,0,18,0,1,0,0,0,0,0,0,0
"Regis Francesc  F.","EIB",1,0,1,0,0,0,0,0,0,0,0,0
"Aly ","LEV",1,1,78,0,1,0,0,0,3,0,0,0
"Molina Dani  D.","CEL",1,0,4,0,0,0,0,0,0,0,0,0
"Sane Arona  A.","ATL",1,0,64,1,1,0,0,0,0,0,0,0
"Redondo Alberto  A.","GET",1,1,90,0,4,0,0,0,1,0,0,0
"Rubio Miguel Angel  M.","GET",1,0,28,1,1,0,0,0,0,0,0,0
"Alba David  D.","GET",1,1,62,0,3,0,0,0,0,0,0,0
"Mujaid ","DEP",2,1,105,0,0,0,0,0,1,0,0,0
"Lopez Alberto  A.","MAG",1,0,45,1,0,0,0,0,1,0,0,0
"Cruz Juan  J.","MAG",1,0,6,0,0,0,0,0,0,0,0,0
"Lara Jose  J.","SEV",1,0,9,1,0,0,0,0,0,0,0,0
"Almuwallad Fahad  F.","LEV",2,0,25,0,1,0,0,0,0,0,0,0
