"Names","Clubs","GP","GS","MP","G","A","SOG","S","YC","RC"
" Messi Lionel L.","BAR",36,32,2996,34,12,97,196,3,0
" Ronaldo Cristiano C.","RMD",27,27,2292,26,5,77,177,1,0
" Suarez Luis L.","BAR",33,32,2899,25,12,56,121,9,0
" Aspas Iago I.","CEL",34,33,2937,22,5,43,95,9,0
" Stuani Cristhian C.","GIR",33,32,2722,21,0,39,74,8,0
" Griezmann Antoine A.","ATL",32,30,2529,19,9,40,72,7,1
" Gomez Maxi M.","CEL",36,35,3077,17,4,38,83,12,0
" Moreno Gerard G.","ESP",38,38,3413,16,1,48,105,4,0
" Bale Gareth G.","RMD",26,20,1803,16,2,32,74,5,0
" Rodrigo","VAL",37,31,2695,16,4,39,92,4,0
" Willian Jose","RSO",34,32,2780,15,4,29,88,4,0
" Bacca Carlos C.","VIL",35,30,2511,15,6,35,73,9,0
" Zaza Simone S.","VAL",33,23,2078,13,1,24,72,10,1
" Angel","GET",33,26,2298,13,3,31,68,6,0
" Oyarzabal Mikel M.","RSO",35,31,2779,12,5,32,64,4,0
" Mina Santi S.","VAL",32,17,1549,12,2,20,43,4,0
" Leon Sergio S.","BET",31,23,1981,11,1,29,65,5,0
" Portu","GIR",37,35,3010,11,5,25,51,5,0
" Garcia Raul R.","ATH",34,30,2637,10,1,34,81,10,0
" El Haddadi Munir M.","ALA",33,28,2456,10,6,23,62,9,1
" Morales Jose Luis J.","LEV",35,35,3065,10,8,25,61,7,0
" Aduriz","ATH",33,21,2149,9,1,28,61,5,0
" Adrian","DEP",30,26,2346,9,6,19,61,1,0
" Bakambu Cedric C.",NA,15,15,1269,9,0,16,31,5,0
" Ben Yedder Wissam W.","SEV",25,18,1699,9,3,27,48,3,1
" Calleri Jonathan J.","LP",37,34,3111,9,3,29,96,7,0
" Bardhi Enis E.","LEV",26,16,1580,9,1,13,37,9,0
" Paulinho","BAR",34,21,1939,9,2,22,45,2,0
" Garcia Kike K.","EIB",35,28,2464,8,1,27,71,5,0
" Baptistao Leo L.","ESP",36,31,2686,8,3,28,79,4,0
" Charles","EIB",30,18,1580,8,1,16,45,5,1
" Juanmi","RSO",30,18,1490,8,2,13,37,3,0
" Sanabria Tony T.","BET",17,8,847,8,0,12,23,0,0
" Correa Angel A.","ATL",37,27,2262,8,4,27,47,5,1
" Remy Loic L.","GET",23,12,1219,8,0,22,42,5,1
" Perez Lucas L.","DEP",35,31,2796,8,6,27,55,3,0
" Coutinho Philippe P.","BAR",18,16,1303,8,5,20,37,1,0
" Ibai","ALA",34,26,2324,7,6,24,54,1,0
" Williams Inaki I.","ATH",38,31,2851,7,6,26,74,3,0
" Andone Florin F.","DEP",29,16,1630,7,3,22,55,6,0
" Isco","RMD",30,21,1778,7,7,19,49,1,0
" Illarramendi Asier A.","RSO",36,35,3163,7,5,11,36,10,1
" Parejo Dani D.","VAL",34,34,3005,7,8,21,45,15,1
" Gameiro Kevin K.","ATL",25,11,1119,7,2,14,20,0,0
" Molina Jorge J.","GET",36,31,2790,7,4,26,65,10,0
" Muriel Luis L.","SEV",29,17,1603,7,2,21,58,4,0
" Moron Loren L.","BET",15,12,1064,7,0,14,29,3,0
" Asensio Marco M.","RMD",32,19,1839,6,6,23,57,2,0
" Castillejo Samu S.","VIL",30,25,2083,6,5,20,57,4,0
" Unal Enes E.","VIL",30,18,1718,6,3,23,44,1,0
"Sarabia Pablo  P.","SEV",34,27,2398,6,5,27,58,9,1
"Jordan Joan  J.","EIB",35,25,2422,6,4,17,41,3,1
"Boateng Emmanuel  E.","LEV",25,10,1270,6,0,15,40,5,0
"Inui Takashi  T.","EIB",34,31,2640,5,2,23,64,4,0
"Sisto Pione  P.","CEL",34,31,2534,5,9,19,52,2,0
"Benzema Karim  K.","RMD",32,25,2156,5,10,18,63,0,0
"Casemiro ","RMD",30,30,2601,5,3,12,32,8,0
"Kroos Toni  T.","RMD",27,26,2267,5,7,18,42,4,0
"Sansone Nicola  N.","VIL",18,5,627,5,1,7,15,1,0
"Torres Fernando  F.","ATL",27,7,966,5,0,13,30,2,0
"Pires Gabriel  G.","LGN",29,28,2383,5,2,15,43,6,1
"Juanpe ","GIR",35,34,3064,5,1,11,23,7,0
"Rolan Diego  D.","MAG",26,21,1944,5,0,16,34,0,0
"Guedes Goncalo  G.","VAL",33,27,2441,5,9,23,61,2,0
"Eraso ","LGN",34,31,2540,4,3,13,32,4,0
"Muniain Iker  I.","ATH",14,7,775,4,2,10,18,1,0
"Alcacer Paco  P.","BAR",17,8,694,4,3,7,15,0,0
"Wass Daniel  D.","CEL",35,34,2938,4,9,10,51,4,0
"Viera Jonathan  J.",NA,23,23,1994,4,3,15,39,4,0
"Castro Chory  C.","MAG",26,26,2075,4,2,10,32,6,1
"En-Nesyri Youseff  Y.","MAG",25,16,1592,4,0,13,47,3,1
"Ramos Sergio  S.","RMD",26,26,2290,4,1,14,28,11,2
"Vazquez Lucas  L.","RMD",33,16,1668,4,7,17,33,3,0
"Bergara Markel  M.","GET",18,18,1469,4,1,10,17,5,0
"Canales Sergio  S.","RSO",36,20,1921,4,5,15,66,4,0
"Joaquin ","BET",35,29,2487,4,7,14,33,7,0
"Vazquez Franco  F.","SEV",30,22,1845,4,6,13,56,4,0
"Koke ","ATL",35,33,2762,4,4,14,29,3,0
"Guerrero ","LGN",22,15,1438,4,3,11,30,3,0
"Tello Cristian  C.","BET",32,16,1684,4,3,17,34,2,0
"Nolito ","SEV",30,17,1599,4,5,18,38,4,0
"Ivi ","LEV",29,17,1759,4,3,10,39,3,0
"Kondogbia Geoffrey  G.","VAL",31,30,2617,4,4,8,27,13,1
"Adrian ","MAG",29,27,2312,3,0,11,34,9,1
"Enrich Sergi  S.","EIB",19,14,1330,3,1,11,32,2,0
"Ramis Ivan  I.","EIB",16,15,1303,3,0,7,14,4,0
"Feddal Zouhair  Z.","BET",15,14,1257,3,0,3,6,7,0
"Garcia Manu  M.","ALA",30,27,2438,3,0,8,26,9,0
"Susaeta ","ATH",34,26,2268,3,2,12,27,2,0
"Guidetti John  J.","ALA",25,15,1338,3,3,14,33,3,0
"Hernandez Pablo  P.","CEL",30,18,1812,3,2,3,17,5,0
"Borges Celso  C.","DEP",32,26,2306,3,3,8,32,5,1
"Fornals Pablo  P.","VIL",35,30,2623,3,12,14,50,4,0
"Llorente Diego  D.","RSO",27,26,2328,3,0,7,19,10,1
"Nacho ","RMD",27,22,2073,3,0,4,9,7,0
"Elustondo Aritz  A.","RSO",19,18,1598,3,2,5,11,1,0
"Prieto Xabi  X.","RSO",26,24,1940,3,5,10,16,1,0
"Orellana Fabian  F.","EIB",17,13,1182,3,2,5,27,6,1
"Trigueros Manuel  M.","VIL",34,32,2709,3,4,8,28,11,1
"Lenglet Clement  C.","SEV",35,33,3002,3,1,5,13,9,0
"Carrasco Yannick  Y.",NA,17,8,899,3,4,9,26,3,0
"Partey Thomas  T.","ATL",33,28,2379,3,0,3,22,6,0
"Mayoral Borja  B.","RMD",14,3,338,3,1,11,15,0,0
"Banega Ever  E.","SEV",31,25,2397,3,3,13,37,9,1
"Ruiz Fabian  F.","BET",34,30,2662,3,6,17,40,3,0
"Valle Borja  B.","DEP",17,3,474,3,2,7,15,1,0
"Pedraza Alfonso  A.","ALA",33,27,2441,3,5,13,42,5,0
"Marti Roger  R.","LEV",17,10,962,3,2,8,27,4,0
"Sobrino Ruben  R.","ALA",28,15,1461,3,2,13,25,5,0
"Januzaj Adnan  A.","RSO",28,18,1579,3,5,14,60,4,0
"N'Diaye Diedhiou Amath  A.","GET",37,36,2883,3,3,13,42,9,0
"Dembele Ousmane  O.","BAR",17,12,930,3,6,10,21,2,0
"Olunga Michael  M.","GIR",14,4,427,3,1,6,17,0,0
"Costa Diego  D.","ATL",15,13,1048,3,3,10,24,8,1
"Coke ","LEV",17,16,1385,3,0,5,11,6,1
"Arbilla Anaitz  A.","EIB",29,26,2411,2,1,4,17,8,0
"Laguardia ","ALA",17,17,1530,2,0,2,5,3,0
"Santos Christian  C.","ALA",10,5,433,2,0,5,8,4,1
"Alba Jordi  J.","BAR",33,30,2744,2,8,5,15,8,0
"Pique Gerard  G.","BAR",30,29,2633,2,0,5,18,9,0
"Suarez Denis  D.","BAR",18,4,584,2,2,5,12,1,0
"Beauvue Claudio  C.","LGN",28,17,1670,2,0,9,40,4,0
"Jonny ","CEL",36,36,3203,2,1,4,15,10,0
"Piatti Pablo  P.","ESP",30,22,1747,2,3,6,30,0,0
"Halilovic Alen  A.","LP",20,16,1306,2,1,15,38,1,1
"Hakimi Achraf  A.","RMD",9,8,757,2,0,3,4,0,0
"Marcelo ","RMD",28,26,2262,2,6,9,33,3,1
"Medran Alvaro  A.","ALA",18,10,1014,2,0,6,18,2,0
"Cheryshev Denis  D.","VIL",24,9,920,2,1,9,29,2,0
"Mario ","VIL",32,31,2805,2,3,10,30,6,0
"Raba Daniel  D.","VIL",21,14,1113,2,4,5,18,3,1
"Ruiz Victor  V.","VIL",27,27,2417,2,1,2,5,11,1
"Brasanac Darko  D.","LGN",23,13,1201,2,0,5,10,3,0
"Ceballos Dani  D.","RMD",12,4,397,2,0,4,7,0,0
"Durmisi Riza  R.","BET",24,23,2080,2,3,6,18,4,0
"Ganso ","SEV",8,7,524,2,0,3,7,0,0
"Vietto Luciano  L.","VAL",20,9,795,2,1,4,13,2,0
"Vitolo ","ATL",23,16,1309,2,2,6,15,1,1
"Saul ","ATL",36,35,3157,2,4,9,53,9,0
"Bustinza Unai  U.","LGN",20,18,1636,2,0,9,15,5,0
"El Zhar Nabil  N.","LGN",30,20,1981,2,2,14,45,2,0
"Rico Diego  D.","LGN",26,26,2229,2,2,7,24,10,1
"Szymanowski Alexander  A.","LGN",13,13,1064,2,2,6,19,1,0
"Timor David  D.","GIR",17,10,922,2,0,5,12,8,0
"Portillo ","GET",33,28,2465,2,3,8,20,6,0
"Cartabia Fede  F.","DEP",20,16,1332,2,1,9,33,6,0
"Baston Borja  B.","MAG",20,8,977,2,0,10,27,2,0
"Cala Juan  J.",NA,20,20,1800,2,2,4,14,9,0
"Aday ","GIR",31,20,1833,2,0,14,33,10,0
"Garcia Borja  B.","GIR",37,34,2812,2,5,10,51,2,0
"Guardado Andres  A.","BET",29,25,2266,2,8,9,33,7,0
"Garcia Sergio  S.","ESP",33,14,1629,2,6,17,39,4,0
"Schar Fabian  F.","DEP",25,25,2220,2,2,6,18,10,0
"Kjaer Simon  S.","SEV",20,18,1571,2,0,2,9,3,0
"Boudebouz Ryad  R.","BET",27,15,1361,2,3,12,19,2,0
"Campbell Joel  J.","BET",8,2,209,2,1,4,7,1,0
"Amrabat Noureddine  N.","LGN",30,17,1620,2,4,18,36,7,1
"Firpo Junior  J.","BET",14,14,1190,2,2,4,13,4,0
"Layun Miguel  M.","SEV",16,11,1181,2,0,5,22,4,0
"Escalante Gonzalo  G.","EIB",28,16,1561,1,0,6,24,3,0
"Galvez Alejandro  A.","LP",22,22,1979,1,0,5,18,6,1
"Pena Ruben  R.","EIB",28,18,1727,1,0,2,12,1,0
"Granell Alex  A.","GIR",34,33,2853,1,7,9,44,11,0
"Alexis ","ALA",28,25,2184,1,0,3,12,6,0
"Camarasa Victor  V.","BET",24,14,1253,1,0,4,21,2,0
"Ely Rodrigo  R.","ALA",31,30,2692,1,0,4,16,12,1
"De Marcos ","ATH",21,20,1663,1,3,7,13,5,0
"Etxeita ","ATH",5,5,377,1,0,1,4,2,0
"San Jose ","ATH",26,24,2156,1,1,5,20,5,0
"Busquets Sergio  S.","BAR",31,30,2600,1,4,4,5,8,0
"Deulofeu Gerard  G.",NA,10,5,503,1,1,4,8,1,0
"Iniesta Andres  A.","BAR",30,25,1842,1,2,6,16,1,0
"Rakitic Ivan  I.","BAR",35,31,2838,1,5,11,28,4,0
"Roberto Sergi  S.","BAR",30,24,2224,1,7,5,9,3,2
"Umtiti Samuel  S.","BAR",25,24,2189,1,0,5,9,7,0
"Vidal Aleix  A.","BAR",15,4,453,1,1,6,8,0,0
"Cabral Gustavo  G.","CEL",26,20,1890,1,1,2,10,5,0
"Gomez Sergi  S.","CEL",33,31,2682,1,0,2,15,3,0
"Lopez David  D.","ESP",37,37,3330,1,1,6,14,7,0
"Navarro Marc  M.","ESP",19,10,1105,1,0,5,20,3,0
"Albentosa Raul  R.","DEP",20,19,1749,1,0,2,11,5,0
"Fajr Faycal  F.","GET",31,26,2383,1,4,10,22,7,0
"Luisinho ","DEP",30,29,2622,1,1,4,16,11,0
"Sidnei ","DEP",21,21,1779,1,1,2,8,4,0
"Colak Emre  E.","DEP",26,17,1452,1,1,8,17,4,0
"Exposito Erik  E.","LP",10,4,462,1,0,2,9,0,0
"Garcia David  D.","LP",11,9,859,1,0,3,5,2,0
"Tana ","LP",24,16,1553,1,1,6,14,2,0
"Recio ","MAG",22,21,1841,1,2,4,26,11,1
"Rosales Roberto  R.","MAG",35,35,3125,1,0,6,18,10,0
"Modric Luka  L.","RMD",26,23,1976,1,6,9,35,3,0
"Bautista Jon  J.","RSO",11,1,172,1,0,3,6,0,0
"Granero Esteban  E.","ESP",25,11,1222,1,3,2,13,5,0
"Martinez Inigo  I.","ATH",28,28,2496,1,1,6,21,6,0
"Rodrigues Kevin  K.","RSO",20,18,1633,1,2,3,15,2,0
"Vela Carlos  C.",NA,13,2,373,1,0,4,11,0,0
"Zaldua Joseba  J.","LGN",30,29,2561,1,0,3,11,9,1
"Zubeldia Igor  I.","RSO",25,16,1578,1,2,3,20,3,0
"Soler Carlos  C.","VAL",33,27,2374,1,5,17,45,4,0
"Vidal Nacho  N.","VAL",7,5,446,1,0,2,3,1,0
"Rodri ","VIL",37,36,3228,1,3,10,31,8,0
"Castro Ruben  R.","BET",10,3,354,1,1,5,9,0,0
"Mandi Aissa  A.","BET",34,34,3025,1,0,2,14,9,1
"Correa Joaquin  J.","SEV",21,15,1198,1,1,6,24,5,0
"Krohn-Dehli Michael  M.","DEP",24,15,1266,1,1,3,13,2,0
"N'Zonzi Steven  S.","SEV",27,26,2215,1,2,5,22,2,0
"Filipe Luis ","ATL",20,19,1660,1,2,2,5,4,0
"Gimenez Jose Maria  J.","ATL",23,17,1684,1,1,2,12,6,0
"Mantovani ","LGN",14,10,1019,1,0,1,5,3,0
"Siovas Dimitrios  D.","LGN",24,24,2061,1,1,2,16,10,1
"Chema ","LEV",25,23,2017,1,1,3,7,8,1
"Vesga Mikel  M.","ATH",12,11,807,1,1,4,7,6,0
"Alejo Ivan  I.","EIB",22,14,1084,1,3,4,13,5,0
"Baysse Paul  P.",NA,15,13,1238,1,0,2,11,1,0
"Burgui ","ALA",23,12,1034,1,0,4,15,1,0
"Campana Jose  J.","LEV",35,33,2742,1,4,8,23,10,1
"Jason ","LEV",27,22,1792,1,2,10,33,2,0
"Postigo Sergio  S.","LEV",30,27,2426,1,0,2,6,6,0
"Alcala Pedro  P.","GIR",8,8,690,1,0,3,8,4,0
"Suarez Damian  D.","GET",33,33,2878,1,4,5,10,14,1
"Pizarro Guido  G.","SEV",24,19,1754,1,0,4,13,9,0
"Cordoba Inigo  I.","ATH",30,18,1457,1,1,4,18,3,0
"Nunez Unai  U.","ATH",33,33,2942,1,0,2,19,11,0
"Jimenez Alvaro  A.","GET",13,5,524,1,1,3,9,5,1
"Gumbau Gerard  G.","LGN",25,16,1431,1,0,6,17,8,0
"Hermoso Mario  M.","ESP",22,22,1929,1,0,4,10,7,1
"Fernandez Carlos  C.","SEV",2,2,139,1,0,2,5,0,0
"Shibasaki Gaku  G.","GET",22,12,1003,1,0,2,10,2,0
"Djene ","GET",36,36,3239,1,0,2,11,9,0
"Navas Jesus  J.","SEV",26,20,1762,1,0,5,21,2,0
"Garcia Aleix  A.","GIR",20,7,843,1,0,3,12,3,0
"Gonzalez Diego  D.","MAG",18,17,1432,1,0,2,13,5,0
"Doukoure Cheick  C.","LEV",19,12,1020,1,0,1,18,4,0
"Pina ","ALA",30,28,2392,1,0,3,13,8,0
"Arambarri Mauro  M.","GET",27,26,2135,1,2,3,21,10,1
"Garcia Javi  J.","BET",32,27,2410,1,0,1,11,7,0
"Olivera Mathias  M.","GET",3,1,102,1,0,1,1,0,0
"Francis ","BET",14,10,991,1,0,1,4,2,0
"Mendez Brais  B.","CEL",20,12,949,1,1,9,22,0,0
"Mor Emre  E.","CEL",23,4,650,1,2,5,12,4,0
"Darder Sergi  S.","ESP",35,32,2788,1,2,7,29,7,0
"Pereira Andreas  A.","VAL",23,12,1076,1,3,6,14,5,0
"Naranjo ","LGN",16,6,561,1,0,3,9,2,0
"Lomban David  D.","EIB",13,11,996,1,0,1,4,3,0
"Demirovic Ermedin  E.","ALA",3,2,181,1,1,3,6,0,0
"Martinez Roger  R.","VIL",8,2,226,1,0,3,11,1,0
"Coquelin Francis  F.","VAL",9,7,656,1,0,3,4,2,0
"Ideye Brown  B.","MAG",13,8,731,1,0,3,10,2,0
"Lozano Choco  C.","GIR",14,4,465,1,0,7,17,0,0
"Bartra Marc  M.","BET",16,16,1421,1,0,4,12,6,0
"Pazzini Giampaolo  G.","LEV",9,5,444,1,0,4,10,1,0
"Rochina Ruben  R.","LEV",5,1,148,1,0,1,7,0,1
"Moreno Hector  H.","RSO",8,8,720,1,0,4,8,1,0
"Bebe ",NA,9,3,361,0,1,1,9,0,0
"Capa ","EIB",33,25,2247,0,1,1,6,4,0
"Dos Santos Mauro  M.","LGN",14,10,981,0,0,2,2,3,0
"Garcia Dani  D.","EIB",32,32,2781,0,1,1,20,14,0
"Junca ","EIB",15,10,902,0,2,0,3,3,0
"Luna Antonio  A.","LEV",23,22,2021,0,2,1,5,5,0
"Nano ",NA,9,2,274,0,0,2,7,1,0
"Pedro Leon ","EIB",12,10,929,0,3,7,24,1,0
"Riesgo Asier  A.","EIB",1,1,90,0,0,0,0,0,0
"Rivera Cristian  C.",NA,7,2,241,0,0,0,1,0,0
"Sarriegi Imanol  I.","EIB",3,0,37,0,0,0,0,1,0
"Yoel ","EIB",1,1,90,0,0,0,0,0,0
"Amagat Eloi  E.","GIR",2,0,14,0,0,0,2,0,0
"Pons Pere  P.","GIR",31,30,2564,0,2,4,14,8,0
"Aguirregabiria Martin  M.","ALA",21,20,1829,0,4,1,3,4,0
"Garcia Raul  R.","LGN",19,15,1388,0,2,1,7,1,0
"Hernandez Theo  T.","RMD",13,10,961,0,0,2,2,1,0
"Katai Aleksandar  A.",NA,3,0,52,0,0,0,2,0,0
"Llorente Marcos  M.","RMD",13,5,540,0,0,0,6,1,0
